Vārds, uzvārds	Kandidātu saraksts	Vēlēšanu apgabals	Kārtas nr. sarakstā	Dzimšanas gads	Darbavieta / nodarbošanās	Amats
Normunds Mihailovs	10 Attīstībai/Par!	Vidzeme	12	1988	SIA "Polymath"	Valdes loceklis
Andris Mikāls	15 Politiskā partija "KPV LV"	Vidzeme	26	1959	SIA "AGS"	Valdes loceklis
Jānis Millers	5 "PROGRESĪVIE"	Kurzeme	4	1984	Marks and Spencer Group plc	Ugunsdrošības un darba drošības inspektors
Romans Miloslavskis	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	14	1983	Latvijas Republikas Saeima	12. Saeimas deputāts
Sarmīte Miļūna	8 No sirds Latvijai	Zemgale	14	1959	Latvijas Neredzīgo biedrība	Galvenais grāmatvedis
Vladislavs Minginovičs	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	18	1984	Džudo klubs "Lido"	Treneris
Sergejs Mirskis	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	11	1952	Latvijas Republikas Saeima	12. Saeimas deputāts
Viktors Mišins	1 "Latvijas Krievu savienība"	Rīga	14	1945	biedrība "Mišina Eiropas teātris "Zelta gailis"	Valdes priekšsēdētājs
Mārīte Mitka-Bērziņa	15 Politiskā partija "KPV LV"	Rīga	25	1969	SIA "Poga LV"	Valdes locekle
Genādijs Močalovs	3 Rīcības partija	Rīga	10	1966	PS " Rīgas mikroautobusu satiksme"	vadītājs-konduktors
Dainis Močs	3 Rīcības partija	Rīga	4	1970	SIA "P.A.D. Servis"	vadītājs
Dainis Molodcovs	13 Jaunā VIENOTĪBA	Latgale	9	1986	SIA Inteco Wood	direktors
Jekaterina Morozova	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	28	1985	SIA "Rīgas namu pārvaldnieks""	Iecirkņa vadītāja
Andrejs Morozovs	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	13	1988	Jūrmalas pilsētas domes Pilsētplānošanas nodaļa	Konsultants
Andris Morozovs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	38	1982	Latvijas Republikas Saeima	12. Saeimas deputāts
Jurijs Morozovs	3 Rīcības partija	Latgale	8	1971	SIA BEM	elektromontieris
Uldis Mortuzāns	8 No sirds Latvijai	Latgale	12	1985	Ciblas novada pašvaldība	Vecākais datortīklu administrators
Māris Možvillo	15 Politiskā partija "KPV LV"	Vidzeme	2	1967	Alojas novada dome	Deputāts
Aivars Mucenieks	16 Zaļo un Zemnieku savienība	Kurzeme	7	1964	Ventspils novada pašvaldība	Novada pašvaldības domes priekšsēdētājs
Kaspars Mucenieks	5 "PROGRESĪVIE"	Zemgale	14	1980	sia "Zemgales Projekts"	Valdes loceklis
Anita Muižniece	2 Jaunā konservatīvā partija	Vidzeme	5	1987	Daugmales pamatskola	Skolotāja
Ilze Mukāne	8 No sirds Latvijai	Vidzeme	11	1966	SIA „Taksisos”	Galvenā grāmatvede
Sergejs Muļivanovs	1 "Latvijas Krievu savienība"	Rīga	26	1967	SIA “RSS.LV”	Valdes loceklis
Igors Muravjovs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	34	1996	Students/studente	
Ēriks Murāns	7 "LSDSP/KDS/GKL"	Vidzeme	18	1977	SIA Truck Project	menedžeris
Viktorija Murina	1 "Latvijas Krievu savienība"	Rīga	17	1954	Latvijas Krievu savienība	Valdes locekle
Žanna Muzikantova	1 "Latvijas Krievu savienība"	Kurzeme	2	1967	PKL flote Latvia	dispečere
Ināra Mūrniece	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	2	1970	Latvijas Republikas Saeima	12. Saeimas priekšsēdētāja, deputāte
Mārtiņš Mūzis	12 "Latviešu Nacionālisti"	Vidzeme	6	1981	Cēsu DzSP	Māju apsaimniekotājs
Inita Nagņibeda	2 Jaunā konservatīvā partija	Zemgale	4	1968	Bauskas novada dome	Deputāte
Aivars Nalivaiko	16 Zaļo un Zemnieku savienība	Vidzeme	26	1962	Inčukalna novada dome	Domes priekšsēdētājs, deputāts
Aleksandrs Narnickis	11 Latvijas Reģionu Apvienība	Latgale	12	1991	Ludzas novada pašvaldība	Projektu vadītājs
Dainis Narnickis	8 No sirds Latvijai	Latgale	6	1984	IK "Danox"	Īpašnieks, direktors
Romāns Naudiņš	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	5	1980	Latvijas Republikas Saeima	Deputāts, Tautsaimniecības, agrārās, vides un reģionālās politikas komisijas priekšsēdētājs
Māris Nātra	11 Latvijas Reģionu Apvienība	Vidzeme	26	1960	Nātra Māris – ģimenes ārsta prakse	Ģimenes ārsts
Jānis Nebars	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	10	1985	Iekšlietu ministrijas Nodrošinājumu valsts aģentūra	Izņemto lietu nodaļas vadītāja vietnieks
Aija Neilande	11 Latvijas Reģionu Apvienība	Zemgale	15	1965	Valsts ieņēmumu dienests	nodaļas vadītājs
Liesma Neipreisa	13 Jaunā VIENOTĪBA	Rīga	23	1954	Pensionārs/pensionāre	
Ralfs Nemiro	15 Politiskā partija "KPV LV"	Zemgale	2	1981	Jelgavas novada pašvaldība	Deputāts
Viktorija Niedra	3 Rīcības partija	Latgale	12	1989	Neatliekamās medicīniskās palīdzības dienests	Ārsts
Edgars Niedrītis	5 "PROGRESĪVIE"	Zemgale	4	1970	Latvijas Bankas Aizsardzības pārvalde	Apsardzes maiņas galvenai inspektors
Olevs Nikers	5 "PROGRESĪVIE"	Rīga	8	1977	LR Aizsardzības ministrija	Vecākais eksperts
Oļegs Nikiforovs	1 "Latvijas Krievu savienība"	Rīga	16	1965	Baltijas starptautiska akadēmija	Asociēta profesora p.i.
Žanis Nikolaičenko	8 No sirds Latvijai	Latgale	4	1969	SIA “Pakmarkas”	Struktūrvienības vadītājs
Raivis Nikolajevs	8 No sirds Latvijai	Latgale	3	1987	SIA "Buru Guru"	Asistents
Vladimirs Nikonovs	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	6	1955	Latvijas Republikas Saeima	12. Saeimas deputāts
Nataļja Nikuļina	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	36	1988	Biedrība "STREETBASKET"	Projekta "Sporto Rīga" vadītāja
Raimonds Nipers	15 Politiskā partija "KPV LV"	Latgale	4	1961	Dagdas novada pašvaldība	Deputāts
Raimonds Nitišs	7 "LSDSP/KDS/GKL"	Vidzeme	4	1969	Rīgas pašvaldības policija	galvenais speciālists sadarbības jautājumos starp valstu un pašvaldību iestādēm
Viktors Nīcgals	8 No sirds Latvijai	Rīga	17	1982	SIA “IT On”	IT speciālists
Sigita Norvele	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	22	1985	SIA ''Royal Dandy"	Valdes locekle, friziere, bārddzine
Aleksandrs Novickis	11 Latvijas Reģionu Apvienība	Zemgale	7	1965	Bauskas novada pašvaldība	deputāts
Oļegs Novodvorskis	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	19	1971	Olaines novada dome	Deputāts
Antoņina Ņenaševa	5 "PROGRESĪVIE"	Rīga	1	1988	Rīgas 22. vidusskola	Skolotāja
Anna Ņešpore	3 Rīcības partija	Latgale	7	1956	I.K. "ARvian"	īpašniece
Viktors Ņikitins	3 Rīcības partija	Vidzeme	16	1961	SIA Džokers	vadītājs
Andrejs Ņilovs	11 Latvijas Reģionu Apvienība	Rīga	5	1966	AS "DC HOLDING"	valdes loceklis
Olga Odincova	1 "Latvijas Krievu savienība"	Zemgale	10	1960	Aizkraukles 1. vidusskola	skolotāja
Mārīte Odnobokova	12 "Latviešu Nacionālisti"	Rīga	26	1963	Bezdarbnieks/bezdarbniece	
Irina Okazina	3 Rīcības partija	Vidzeme	12	1996	SIA "Alavanda"	Bārmenis un menedžera palīgs
Aivars Okmanis	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	9	1959	Rundāles novada dome	Priekšsēdētājs
Sigita Olbačevska	15 Politiskā partija "KPV LV"	Rīga	28	1976	SIA "Floriena"	Vadītāja
Oļegs Oļeščuks	6 "Latvijas centriskā partija"	Rīga	7	1966	arodbiedrība Saimnieki	valdes loceklis
Aivars Ontužāns	2 Jaunā konservatīvā partija	Vidzeme	11	1956	Jaunpiebalgas vidusskola	Jaunsargu instruktors
Mila Orlova	10 Attīstībai/Par!	Latgale	14	1980	Pašnodarbināta persona	
Georgijs Orlovs	6 "Latvijas centriskā partija"	Rīga	8	1964	SIA Voldemars	tehniskais darbinieks
Vitālijs Orlovs	9 "Saskaņa" sociāldemokrātiskā partija	Zemgale	2	1964	Latvijas Republikas Saeima	12. Saeimas deputāts
Liesma Ose	10 Attīstībai/Par!	Rīga	16	1964	AS "Transporta un sakaru institūts"	Mācību prorektore
Māra Ose-Kuišele	10 Attīstībai/Par!	Vidzeme	15	1987	SIA "AdEvo"	Klientu apkalpošanas vadītāja
Dmitrijs Osiņenko	14 Par Alternatīvu	Vidzeme	8	1981	GKS Enerģētiķis	valdes priekšsēdētājs
Evita Ostrovska	7 "LSDSP/KDS/GKL"	Vidzeme	14	1974	SIA Bonum factum	valdes locekle
Linda Ostrovska	8 No sirds Latvijai	Zemgale	10	1970	Radošo ideju centrs “Spāre”	Valdes priekšsēdētāja
Edijs Ostrovskis	13 Jaunā VIENOTĪBA	Rīga	36	1987	Eiropas Parlaments	Padomnieks
Gundars Ostrovskis	10 Attīstībai/Par!	Kurzeme	11	1975	Eiropas komisijas ģenerāldirektorāts "Finanšu stabilitāte, finanšu pakalpojumi un kapitāla tirgus savienība"	Vecākais ekonomists
Nelda Otvare	10 Attīstībai/Par!	Vidzeme	19	1991	Politisko partiju apvienība "Attīstībai/Par!"	Biroja vadītāja
Ieva Margarita Ozola	7 "LSDSP/KDS/GKL"	Rīga	4	1958	Rīgas Katoļu ģimnāzija	direktora vietniece
Jogita Ozola	13 Jaunā VIENOTĪBA	Vidzeme	16	1978	Rīgas domes Pašvaldības ieņēmumu pārvalde	Nekustamā īpašuma nodokļa aprēķināšanas nodaļas Zemgales priekšpilsētas sektora galvenā ekonomiste
Linda Ozola	2 Jaunā konservatīvā partija	Rīga	3	1979	Rīgas Dome	Rīgas domes deputāte
Zane Ozola	11 Latvijas Reģionu Apvienība	Zemgale	9	1985	Jēkabpils Agrobiznesa koledža	direktores vietniece audzināšanas jomā
Rūta Ozoliņa	8 No sirds Latvijai	Rīga	27	1992	Politiskā darbība	
Aigars Ozoliņš	11 Latvijas Reģionu Apvienība	Vidzeme	16	1971	AS "Sadales tīkls"	Procesu un kontroles daļas būvniecības elektroinženieris
Andis Ozoliņš	8 No sirds Latvijai	Zemgale	9	1948	SIA “Clean-R”	Telpu uzkopšanas darbinieks
Bruno Ozoliņš	5 "PROGRESĪVIE"	Rīga	26	1956	Ekonomists-matemātiķis	
Aivars Ozols	13 Jaunā VIENOTĪBA	Kurzeme	12	1952	Pensionārs/pensionāre	
Aivars Ozols	11 Latvijas Reģionu Apvienība	Rīga	18	1956	SIA “Metre”	valdes loceklis
Arvīds Ozols	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	17	1968	SIA "Aloja Agro"	Valdes loceklis
Elviss Ozols	15 Politiskā partija "KPV LV"	Vidzeme	11	1980	Valsts akciju sabiedrība "Tiesu namu aģentūra"	Vidzemes NĪ daļas pārvaldnieks
Jānis Ozols	2 Jaunā konservatīvā partija	Rīga	11	1970	"CONTRACTUS" SIA	Prokūrists
Roberts Ozols	16 Zaļo un Zemnieku savienība	Vidzeme	13	1954	Latvijas Zaļā partija	Ķeguma nodaļas vadītājs
Mārtiņš Pabērzs	5 "PROGRESĪVIE"	Latgale	7	1993	SIA "Dautkom"	Mārketinga menedžeris
Artis Pabriks	10 Attīstībai/Par!	Vidzeme	1	1966	Eiropas Parlaments	Deputāts
Andrejs Pagors	1 "Latvijas Krievu savienība"	Rīga	11	1986	Saimnieciskās darbības veicējs	pašnodarbinātā persona
Ernando Palasioss	13 Jaunā VIENOTĪBA	Rīga	16	1987	LATADVICE SIA	Starptautisko ekonomisko attiecību speciālists
Ruslans Pankratovs	14 Par Alternatīvu	Rīga	4	1969	"ATGŪSIM SAVUS VĀRDUS"	valdes priekšsēdētājs
Evija Papule	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	1	1964	Rīgas dome	Priekšsēdētāja padomniece izglītības reformas jautājumos
Imants Parādnieks	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	2	1968	Latvijas Republikas Saeima	Deputāts
Linda Pastare	15 Politiskā partija "KPV LV"	Vidzeme	23	1978	Profesionālās izglītības kompetences centrs Ogres tehnikums	Skolotāja
Lauris Pastars	13 Jaunā VIENOTĪBA	Latgale	17	1981	PREIĻU NOVADA DOME	Labklājības pārvaldes direktors
Normunds Pastars	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	10	1963	Jaunsardzes un informācijas centrs	Jaunsargu instruktors
Viktors Paškovs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	24	1956	Rīgas dome	Deputāts
Sergejs Pašukovs	9 "Saskaņa" sociāldemokrātiskā partija	Zemgale	11	1961	Iecavas novada dome	Deputāts
Aleksandrs Pavlovskis	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	10	1945	SIA "Rīgas namu pārvaldnieks"	Iecirkņa "Jugla" vadītājs
Daniels Pavļuts	10 Attīstībai/Par!	Rīga	1	1976	SIA "Zeno Consulting"	Valdes priekšsēdētājs
Jeļena Pārmale	15 Politiskā partija "KPV LV"	Rīga	26	1982	IK ''Milānija''	īpašniece
Uldis Pāže	12 "Latviešu Nacionālisti"	Rīga	21	1983	Augļu serviss	Pasūtījumu pieņemšanas operators
Māris Peipiņš	3 Rīcības partija	Kurzeme	6	1970	SIA "COPs"	Apsargs
Rūdolfs Pelēkais	11 Latvijas Reģionu Apvienība	Vidzeme	22	1997	Brīvzemnieku pagasta Puikules tautas nams	vadītājs
Ruta Penēze	11 Latvijas Reģionu Apvienība	Kurzeme	10	1968	Narvesen Baltija SIA	Mazumtirdzniecības reģiona vadītāja
Līga Pennere	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	9	1971	SIA '"LIARPS"	Valdes locekle
Andris Perjans	3 Rīcības partija	Kurzeme	1	1983	Pašnodarbinātais	Miessargs
Kristaps Petermanis	10 Attīstībai/Par!	Rīga	17	1982	Pašnodarbinātais	Valsts pārvaldes eksperts, konsultants
Ramona Petraviča	15 Politiskā partija "KPV LV"	Kurzeme	2	1967	SIA "MONĒTA"	Finanšu vadītāja
Salvis Petriks	15 Politiskā partija "KPV LV"	Rīga	6	1993	SIA "Kon Group"	Eksporta vadītājs
Valērijs Petrovs	1 "Latvijas Krievu savienība"	Latgale	8	1965	SIA “Juridiskie darījumi”	Valdes loceklis
Vitālijs Petrovs	3 Rīcības partija	Vidzeme	15	1975	SIA TechExpress	Pārdošanas direktors
Santa Pērkone	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	14	1992	Rugāju novada dome	Kultūras pasākumu organizatore
Evita Pētersone	2 Jaunā konservatīvā partija	Kurzeme	12	1973	“Darba Iespēju Aģentūra” SIA	Valdes locekle
Lauma Pētersone	8 No sirds Latvijai	Rīga	11	1990	SIA " Groglass"	Klientu un pārdošanas konsultants
Jeļena Pičoha	3 Rīcības partija	Zemgale	1	1984	Bezdarbnieks/bezdarbniece	
Juris Piebalgs	8 No sirds Latvijai	Zemgale	4	1984	SIA “Jūrmalas siltums”	Kauguru gāzes un biomasas katlu māju galvenais inženieris
Normunds Pildiņš	2 Jaunā konservatīvā partija	Zemgale	11	1966	"Iniņi" SIA	Valdes priekšsēdētājs
Igors Pimenovs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	17	1953	Latvijas Republikas Saeima	12. Saeimas deputāts
Juris Pinsters	12 "Latviešu Nacionālisti"	Kurzeme	6	1949	Bezdarbnieks/bezdarbniece	
Eduards Piņkovskis	8 No sirds Latvijai	Rīga	30	1971	SIA "Aleks-P"	Autovadītājs
Edijs Pipars	11 Latvijas Reģionu Apvienība	Rīga	6	1989	biedrība “Palīdzēsim viens otram”	valdes priekšsēdētājs
Helēna Piziča	13 Jaunā VIENOTĪBA	Latgale	12	1949	Biedrība "Vārkavas novada pensionāri"	Valdes priekšsēdētāja
Rihards Pīks	10 Attīstībai/Par!	Vidzeme	4	1941	Partija "Latvijas attīstībai"	Valdes loceklis
Arvīds Platpers	11 Latvijas Reģionu Apvienība	Vidzeme	2	1948	Latvijas Republikas Saeima	deputāts
Līvija Plavinska	13 Jaunā VIENOTĪBA	Latgale	2	1959	Rēzeknes novada pašvaldības Nautrēnu pagasta pārvaldē	Pārvaldes vadītāja
Artūrs Toms Plešs	10 Attīstībai/Par!	Zemgale	4	1992	Bauskas novada dome	Deputāts
Gundars Plešs	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	14	1962	Limbažu novada dome	Deputāts
Jakovs Pliners	1 "Latvijas Krievu savienība"	Rīga	5	1946	Rīgas vispārizglītojošā privātā vidusskola "Evrika"	direktora vietnieks
Karina Ploka	13 Jaunā VIENOTĪBA	Zemgale	17	1975	Latvijas Republikas Labklājības ministrija	parlamentārā sekretāre
Zane Plotko	8 No sirds Latvijai	Zemgale	12	1988	SIA "Tukuma slimnīca"	Podologs
Alita Plūksna	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	25	1986	SIA "efn Nord"	Montētājs
Māris Pļaviņš	7 "LSDSP/KDS/GKL"	Vidzeme	5	1951	SIA MS Gaiļezers	filiāles vadītājs ārsts-nefrologs
Mārtiņš Pļaviņš	16 Zaļo un Zemnieku savienība	Rīga	16	1985	Valsts Robežsardzes koledža	Sporta instruktors
Arvis Pļavnieks	12 "Latviešu Nacionālisti"	Rīga	16	1997	SIA "Latvijas Meliorācija"	Palīgstrādnieks
Pāvels Podļesnijs	6 "Latvijas centriskā partija"	Rīga	5	1965	SIA Dinex	Tehniska departamenta vadītājs
Sergejs Pogorelovs	10 Attīstībai/Par!	Rīga	18	1987	Politiskā partija "Latvijas attīstībai"	Valdes loceklis
Anna Poindere	16 Zaļo un Zemnieku savienība	Rīga	31	1986	FMR Advisory	Biznesa menedžere
Andris Polis	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	24	1954	Z/S "Tožiņi"	Vadītājs
Tatjana Ponomarenko	3 Rīcības partija	Rīga	21	1969	"LIIR Latvija"	uzkopšānas darbu vadītāja
Sintija Popena	5 "PROGRESĪVIE"	Rīga	11	1990	SIA "DDB WORLDWIDE LATVIA"	Video speciāliste
Vilnis Poriņš	15 Politiskā partija "KPV LV"	Vidzeme	14	1981	Akciju sabiedrība "G4S Latvia"	Objekta vadītājs
Roberts Portnojs	5 "PROGRESĪVIE"	Latgale	6	1986	Neatliekamās medicīniskās palīdzības dienests	LRC Galvenais speciālists OMT nodrošinājuma jautājumos
Inese Posse	2 Jaunā konservatīvā partija	Rīga	26	1971	Valsts darba inspekcija	Inspektore
Sergejs Potapkins	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	5	1977	Latvijas Republikas Saeima	12. Saeimas deputāts
Andrejs Požarnovs	7 "LSDSP/KDS/GKL"	Rīga	2	1962	Baldones novada dome	priekšsēdētāja vietnieks
Edgars Praličs	8 No sirds Latvijai	Vidzeme	8	1990	SIA „Sliko”	Direktors
Ilga Pranča-Hartingera	15 Politiskā partija "KPV LV"	Kurzeme	4	1966	Sabiedrība ar ierobežotu atbildību "Maras Manor"	Valdes locekle
Māra Priedīte	14 Par Alternatīvu	Vidzeme	9	1941	Pensionārs/pensionāre	
Aigars Priednieks	13 Jaunā VIENOTĪBA	Kurzeme	8	1970	Mikrouzņēmums	individuālais komersants
Ziedonis Priedols	8 No sirds Latvijai	Zemgale	16	1966	Pensionārs/pensionāre	
Pāvels Prozors	1 "Latvijas Krievu savienība"	Latgale	16	1960	Latvijas Nacionālā nekustamo īpašumu aģentūra	vecākais sargs
Aļona Prudņikova	3 Rīcības partija	Rīga	11	1984	Bezdarbnieks/bezdarbniece	
Aleksandrs Prutkovs	1 "Latvijas Krievu savienība"	Vidzeme	7	1967	Latvijas Krievu savienība	Salaspils nodaļas vadītājs
Ēriks Pucens	15 Politiskā partija "KPV LV"	Kurzeme	3	1986	Kuldīgas novada pašvaldība	Deputāts
Ainārs Pudulis	8 No sirds Latvijai	Latgale	17	1970	Biedrība " Latgolai i Latvijai"	Valdes loceklis
Ivars Puga	15 Politiskā partija "KPV LV"	Rīga	37	1960	Latvijas Nacionālais teātris	Aktieris
Andris Puide	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	15	1976	Mārupes novada dome	Deputāts
Nadīna Puidīte	12 "Latviešu Nacionālisti"	Zemgale	9	1947	Pensionārs/pensionāre	
Inga Puka	14 Par Alternatīvu	Rīga	15	1981	Biedrība Dzintarkrasta serviss	sociālais darbinieks
Arnis Puksts	15 Politiskā partija "KPV LV"	Rīga	18	1980	SIA Intelligent Agency	Valdes priekšsēdētājs
Ivars Puksts	2 Jaunā konservatīvā partija	Vidzeme	27	1971	"Valmieras stikla šķiedra" AS	Elektriķis, arodkomitejas loceklis
Edvīns Puķe	6 "Latvijas centriskā partija"	Zemgale	1	1961	SIA Sarkanā zvaigzne Rīga	valdes priekšsēdētājs
Olafs Pulks	13 Jaunā VIENOTĪBA	Vidzeme	4	1963	Rīgas dome	deputāts
Gatis Puriņš	13 Jaunā VIENOTĪBA	Rīga	24	1972	Salaspils novada dome	Salaspils novada domes priekšsēdētāja palīgs
Māris Puriņš	10 Attīstībai/Par!	Latgale	11	1980	SIA "Alpha Finance Group"	Valdes loceklis
Iveta Purne	8 No sirds Latvijai	Rīga	3	1963	Biedrības „Dzintarkrasta serviss” sociālās aprūpes centrs „Liepa”	Sociālais darbinieks
Roberts Purnis	12 "Latviešu Nacionālisti"	Rīga	2	1995	Politisko partiju apvienība "Latviešu Nacionālisti"	Valdes loceklis
Rihards Pušmucāns	8 No sirds Latvijai	Vidzeme	22	1984	Pašnodarbinātais. Juridiskās konsultācijas	
Dzintra Putniņa	12 "Latviešu Nacionālisti"	Rīga	19	1946	Pensionārs/pensionāre	
Aigars Putniņš	12 "Latviešu Nacionālisti"	Kurzeme	5	1966	Pētniecības ilgtermiņa projekts "Latvijas vēsture un sabiedrība 20. gadsimta pirmajā pusē"	Vadītājs
Renārs Putniņš	13 Jaunā VIENOTĪBA	Rīga	7	1976	Latvijas Republikas Saeima	Deputāts
Roberts Putnis	5 "PROGRESĪVIE"	Rīga	2	1976	PROGRESĪVIE, politiskā partija	priekšsēdētājs
Edgars Putra	16 Zaļo un Zemnieku savienība	Kurzeme	3	1983	LR Saeima	Deputāts
Juris Pūce	10 Attīstībai/Par!	Kurzeme	1	1980	Politisko partiju apvienība "Attīstībai/Par!"	Valdes līdzpriekšēdētājs
Zane Pūpola	5 "PROGRESĪVIE"	Kurzeme	6	1988	Latvijas vides aizsardzības fonda administrācija	Vecākā eksperte LIFE Atbalsta vienībā
Pēteris Pūrītis	10 Attīstībai/Par!	Rīga	37	1970	SIA "BR Group"	Projektu vadītājs
Edgars Račevskis	12 "Latviešu Nacionālisti"	Rīga	3	1936	Rīgas Latviešu Biedrība, Vīru koris "Latvis"	Galvenais diriģents un mākslinieciskais vadītājs
Vigo Račevskis	12 "Latviešu Nacionālisti"	Vidzeme	2	1962	Alfrēda Kalniņa Cēsu mūzikas vidusskola	Direktors
Andrejs Radzevičs	11 Latvijas Reģionu Apvienība	Kurzeme	15	1966	Durbes novada dome	Priekšsēdētāja vietnieks
Maija Radziņa	10 Attīstībai/Par!	Rīga	19	1978	Paula Stradiņa klīniskā universitātes slimnīca	Ārsts radiologs
Roberts Raimo	16 Zaļo un Zemnieku savienība	Rīga	21	1968	Latvijas Sporta Pedagoģijas akadēmija	Vieslektors
Solveiga Raja	14 Par Alternatīvu	Vidzeme	11	1944	Pensionārs/pensionāre	
Artis Ramutis	2 Jaunā konservatīvā partija	Zemgale	10	1979	"Baltais sniegs" SIA	Komercobjektu tirdzniecības darījumu vadītājs
Juris Rancāns	2 Jaunā konservatīvā partija	Latgale	5	1977	Valsts ieņēmumu dienests	Vecākais izmeklētājs
Jānis Raņķis	3 Rīcības partija	Vidzeme	4	1975	SIA "Māju apkalpošana"	Apsargs-administrators
Olga Raņševa	1 "Latvijas Krievu savienība"	Latgale	9	1979	Saimnieciskās darbības veicēja	pašnodarbinātā persona
Guntis Rasims	11 Latvijas Reģionu Apvienība	Latgale	4	1984	Rēzeknes novada pašvaldība	deputāts
Artis Rasmanis	16 Zaļo un Zemnieku savienība	Vidzeme	6	1971	LR Saeima	Deputāts
Līga Rasnača	5 "PROGRESĪVIE"	Zemgale	1	1956	Latvijas Universitāte	Asociētā profesore, vadošā pētniece
Dzintars Rasnačs	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	5	1963	Valsts kanceleja	Tieslietu ministrs
Ilga Raščevska	3 Rīcības partija	Latgale	9	1963	VSAC Latgale filiāle Lubāna	saimniecības parzine
Iveta Ratinīka	10 Attīstībai/Par!	Latgale	4	1978	Āgenskalna Valsts ģimnāzija	Latviešu valodas un literatūras skolotāja
Jānis Ratkevičs	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	19	1983	Vides aizsardzības un reģionālās attīstības ministrija	Vecākais konsultants
Arvīds Ratnieks	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	16	1955	AAS Baltijas Apdrošināšanas nams	Apdrošinātājs
Edvards Ratnieks	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	13	1988	Rīgas dome	Nacionālās apvienības „Visu Latvijai!” – „Tēvzemei un Brīvībai/LNNK” deputātu frakcijas referents
Elza Rauda	5 "PROGRESĪVIE"	Zemgale	11	1993	A/S "4finance"	Biznesa datu analītiķe
Mareks Raups	7 "LSDSP/KDS/GKL"	Vidzeme	2	1973	Politiskā partija Kristīgi demokrātiskā savienība	valdes priekšsēdētājs
Vano Razmadze	1 "Latvijas Krievu savienība"	Rīga	21	1970	Latvijas Apvienotā policistu arodbiedrība	jurists
Romualds Ražuks	13 Jaunā VIENOTĪBA	Vidzeme	6	1955	Latvijas Republikas Saeima	Deputāts
Nikolajs Redkins	3 Rīcības partija	Rīga	16	1946	Pensionārs/pensionāre	
Dāvis Reinbergs	15 Politiskā partija "KPV LV"	Zemgale	8	1991	"ALVIMA" Jelgavas sabiedrība ar ierobežotu atbildību	Loģistiķis
Viesturs Reinfelds	11 Latvijas Reģionu Apvienība	Zemgale	5	1956	Lauku atbalsta dienests	Zemgales reģionālās lauksaimniecības pārvaldes vadītājs
Dagnis Reinsons	7 "LSDSP/KDS/GKL"	Rīga	7	1973	SIA Rīgas Satiksme	Galastacijas dispečers
Jānis Reirs	13 Jaunā VIENOTĪBA	Zemgale	1	1961	Valsts kanceleja	Labklājības ministrs
Dana Reizniece-Ozola	16 Zaļo un Zemnieku savienība	Rīga	1	1981	Valsts Kanceleja	Finanšu ministre
